State,District,Latitude,Longitude,District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,sex_ratio,literacy_rate
Orissa,Rayagada,19.292840020060204,83.45860120361095,396,ORISSA,Rayagada,967911,471960,495951,407735,241959,165776,139514,68068,71446,541905,259040,282865,467122,258032,209090,227815,239307,500789,99265,248175,9959,109723,874445,4607,84916,219,249,123,44,3308,105.0,42.0
Orissa,Sambalpur,21.515752380952385,84.34958483245157,372,ORISSA,Sambalpur,1041099,526877,514222,703691,393192,310499,191827,96511,95316,355261,177565,177696,505840,313161,192679,336854,168986,535259,86800,160798,59288,198954,964188,20120,50637,2506,310,86,1117,2135,98.0,68.0
Orissa,Sundargarh,22.06354819277107,84.50524819277099,374,ORISSA,Sundargarh,2093437,1061147,1032290,1342322,750147,592175,191660,96465,95195,1062349,526856,535493,873227,584687,288540,535112,338115,1220210,184273,253327,26970,408657,1532352,71391,385011,5713,710,721,89986,7553,97.0,64.0
Puducherry,Karaikal,10.876161726078813,79.82369793621002,637,PONDICHERRY,Karaikal,200222,97809,102413,154916,79903,75013,35348,17206,18142,0,0,0,68301,53139,15162,58342,9959,131921,2372,13077,1327,51525,152638,28835,18391,46,63,54,14,181,105.0,77.0
Puducherry,Mahe,12.006420793787758,75.28275021570326,636,PONDICHERRY,Mahe,41816,19143,22673,36470,16610,19860,144,77,67,0,0,0,11802,9093,2709,10404,1398,30014,43,82,69,11608,27940,12856,958,3,21,14,3,21,118.0,87.0
Puducherry,Yanam,16.707695652173904,82.26187304347832,634,PONDICHERRY,Yanam,55626,27301,28325,39274,19919,19355,8427,4100,4327,0,0,0,16760,14047,2713,15373,1387,38866,291,3324,146,12999,53537,1191,873,3,1,4,4,13,104.0,71.0
Punjab,Amritsar,31.548679820627772,74.79883856502238,49,PUNJAB,Amritsar,2490656,1318408,1172248,1684770,932981,751789,770864,405977,364887,0,0,0,917856,735195,182661,787254,130602,1572800,124617,121599,41642,629998,690939,12502,54344,1716935,876,3152,1044,10864,89.0,68.0
Punjab,Bathinda,30.190524611973352,75.05685898004438,46,PUNJAB,Bathinda,1388525,743197,645328,844868,488261,356607,450473,236936,213537,0,0,0,549986,432988,116998,452678,97308,838539,141535,128382,14938,265131,380569,16299,2474,984286,246,1266,559,2826,87.0,61.0
Punjab,Faridkot,30.591187250996025,74.79751553784862,45,PUNJAB,Faridkot,617508,326671,290837,381285,215767,165518,240328,126567,113761,0,0,0,221555,185049,36506,190415,31140,395953,53230,54058,8225,106042,141363,3125,1227,469789,155,1109,103,637,89.0,62.0
Punjab,Fatehgarh Sahib,30.64290947368421,76.36208394736842,40,PUNJAB,Fatehgarh Sahib,600163,320795,279368,426033,238696,187337,192493,101882,90611,0,0,0,214783,182777,32006,192845,21938,385380,44245,21389,8048,141101,152851,16808,1698,427521,48,178,251,808,87.0,71.0
Punjab,Firozpur,30.63407535211269,74.40245732394365,43,PUNJAB,Firozpur,2029074,1071637,957437,1227511,707070,520441,855726,445461,410265,0,0,0,756695,596406,160289,618362,138333,1272379,191685,227971,14679,322360,906408,6844,19358,1090815,454,1143,278,3774,89.0,60.0
Punjab,Gurdaspur,32.04283371212125,75.3204064393939,35,PUNJAB,Gurdaspur,2298323,1212617,1085706,1634719,907660,727059,580576,304894,275682,0,0,0,757138,637652,119486,625778,131360,1541185,147912,100684,30903,477639,1074332,27667,176587,1002874,405,580,812,15066,90.0,71.0
Punjab,Hoshiarpur,31.55157169811319,75.8469857442349,38,PUNJAB,Hoshiarpur,1586625,809057,777568,1199699,637927,561772,557504,284322,273182,0,0,0,499822,412506,87316,411011,88811,1086803,89772,74362,15990,319698,1000743,23089,14968,538208,3476,2034,531,3576,96.0,76.0
Punjab,Jalandhar,31.250336907216507,75.54400350515463,37,PUNJAB,Jalandhar,2193590,1145211,1048379,1622537,882581,739956,854444,442124,412320,0,0,0,774472,639484,134988,689592,84880,1419118,85695,66664,29762,592351,1394329,30233,26016,718363,11385,4011,805,8448,92.0,74.0
Punjab,Kapurthala,31.336592638036837,75.47641165644177,36,PUNJAB,Kapurthala,815168,426311,388857,576567,316254,260313,276707,143901,132806,0,0,0,284165,235562,48603,248208,35957,531003,55252,42387,9861,176665,336124,10190,5445,453692,6662,553,334,2168,91.0,71.0
Punjab,Ludhiana,30.76596397379912,75.83110851528383,41,PUNJAB,Ludhiana,3498739,1867816,1630923,2560225,1428348,1131877,923358,487839,435519,0,0,0,1284822,1053600,231222,1138654,146168,2213917,140737,98646,71667,973772,1502403,77713,16517,1863408,2007,19620,1254,15817,87.0,73.0
Punjab,Mansa,29.919547714285724,75.4304922857143,47,PUNJAB,Mansa,769751,408732,361019,423560,244037,179523,258878,136311,122567,0,0,0,328512,230739,97773,247175,81337,441239,105963,90367,13442,118740,156539,10375,917,598443,123,1577,493,1284,88.0,55.0
Punjab,Moga,30.756540067340065,75.1600845117845,42,PUNJAB,Moga,995746,525920,469826,627889,348549,279340,363417,192418,170999,0,0,0,359172,292379,66793,304880,54292,636574,91622,82397,18098,167055,158414,9388,3277,818921,178,436,365,4767,89.0,63.0
Punjab,Muktsar,30.31243303303303,74.5518747747748,44,PUNJAB,Muktsar,901896,475622,426274,524848,300401,224447,381554,200473,181081,0,0,0,335326,272699,62627,287205,48121,566570,86565,111014,5187,132560,254920,4333,1681,638625,240,744,433,920,90.0,58.0
Punjab,Patiala,30.214540380693364,76.27505893949697,48,PUNJAB,Patiala,1895686,1002522,893164,1266791,711052,555739,465359,244503,220856,0,0,0,660267,549661,110606,570391,89876,1235419,113182,89123,23647,434315,783306,40043,5683,1059944,245,1914,1410,3141,89.0,67.0
Punjab,Rupnagar,30.910937330754347,76.53743500967126,51,PUNJAB,Rupnagar,684627,357485,327142,502731,278534,224197,180905,94334,86571,0,0,0,233676,186910,46766,194209,39467,450951,45640,21520,12321,154195,304481,14492,2094,361045,118,653,143,1601,92.0,73.0
Punjab,Sangrur,30.185045204336895,75.89437014178496,53,PUNJAB,Sangrur,1655169,878029,777140,1002077,570413,431664,461609,244231,217378,0,0,0,568758,485129,83629,499792,68966,1086411,157191,91799,18578,301190,389410,179116,2406,1077438,268,3222,1038,2271,89.0,61.0
Rajasthan,Ajmer,26.199300378787903,74.6990419191919,119,RAJASTHAN,Ajmer,2583052,1324085,1258967,1526673,926268,600405,478027,243750,234277,63482,32408,31074,1053722,686149,367573,827181,226541,1529330,298856,145523,35602,573741,2201663,314159,10605,6799,417,45614,184,3611,95.0,59.0
Rajasthan,Alwar,27.55271738035265,76.65359630562563,104,RAJASTHAN,Alwar,3674179,1939026,1735153,2182476,1359829,822647,653036,342938,310098,289249,153397,135852,1708542,994171,714371,1179461,529081,1965637,898891,216772,34562,558317,3039279,547335,2696,64532,4384,13221,348,2384,89.0,59.0
Rajasthan,Banswara,23.453642032967014,74.44246868131869,125,RAJASTHAN,Banswara,1797485,907754,889731,829343,513854,315489,80091,40639,39452,1372999,690476,682523,916574,482236,434338,542983,373591,880911,546569,199370,19818,150817,1701234,48834,22250,427,138,22613,109,1880,98.0,46.0
Rajasthan,Baran,24.98023243243244,76.86210651828291,128,RAJASTHAN,Baran,1222755,633945,588810,693307,432607,260700,221184,114969,106215,276857,143094,133763,552583,329754,222829,359785,192798,670172,216538,185037,15258,135750,1133349,79984,1432,3066,84,2795,48,1997,93.0,57.0
Rajasthan,Barmer,25.77070908045978,71.50297126436782,115,RAJASTHAN,Barmer,2603751,1369022,1234729,1188322,783461,404861,436414,228431,207983,176257,92610,83647,1202482,696240,506242,741367,461115,1401269,754260,132696,30565,284961,2244882,321192,1157,450,157,34010,34,1869,90.0,46.0
Rajasthan,Bharatpur,27.32411858037578,77.21752077244258,105,RAJASTHAN,Bharatpur,2548462,1355726,1192736,1480869,943910,536959,557305,296293,261012,54090,28705,25385,1071154,647198,423956,694929,376225,1477308,500994,238894,25068,306198,2143046,371286,1576,23456,899,5758,18,2423,88.0,58.0
Rajasthan,Bhilwara,25.45119767759564,74.63947595628417,122,RAJASTHAN,Bhilwara,2408523,1220736,1187787,1256126,777582,478544,407947,206332,201615,229273,117026,112247,1148165,674589,473576,883329,264836,1260358,555168,163052,30149,399796,2224839,142427,1978,1468,183,35149,60,2419,97.0,52.0
Rajasthan,Bikaner,28.12489068322981,73.26943322981371,101,RAJASTHAN,Bikaner,2363937,1240801,1123136,1278801,782399,496402,493646,259532,234114,7779,4207,3572,986208,640572,345636,752768,233440,1377729,499223,103833,26244,356908,2073356,235741,1901,20072,285,30850,79,1653,91.0,54.0
Rajasthan,Bundi,25.48580716049379,75.79984074074079,121,RAJASTHAN,Bundi,1110906,577160,533746,585044,371705,213339,210788,109333,101455,228549,119454,109095,526091,314806,211285,361070,165021,584815,250453,111388,11172,153078,1017688,66609,682,11059,144,13455,24,1245,92.0,53.0
Rajasthan,Chittaurgarh,24.631623761665463,74.80010997846382,126,RAJASTHAN,Chittaurgarh,1544338,783171,761167,821825,514851,306974,250224,126748,123476,201546,101893,99653,802755,456632,346123,656904,145851,741583,453201,123469,15435,210650,1413163,97855,1274,1515,252,25843,136,4300,97.0,53.0
Rajasthan,Churu,28.29330375536484,74.65846427038629,102,RAJASTHAN,Churu,2039547,1051446,988101,1149269,696729,452540,451721,235113,216608,11245,5903,5342,902829,541404,361425,628381,274448,1136718,572644,87983,16594,225608,1777879,249736,958,402,188,7104,127,3153,94.0,56.0
Rajasthan,Dausa,26.91234817629181,76.57342097264443,109,RAJASTHAN,Dausa,1634409,857787,776622,938051,596935,341116,354337,185349,168988,433344,228554,204790,684495,398151,286344,506214,178281,949914,390960,76277,17185,200073,1582335,45488,439,296,94,3737,115,1905,91.0,57.0
Rajasthan,Dhaulpur,26.72397054945053,77.74476219780222,106,RAJASTHAN,Dhaulpur,1206516,653647,552869,683098,435721,247377,245695,131875,113820,58594,31802,26792,523212,339110,184102,317617,205595,683304,229936,74342,12721,206213,1127520,72258,688,1356,92,2739,21,1842,85.0,57.0
Rajasthan,Dungarpur,23.75104807692308,73.84765641025645,124,RAJASTHAN,Dungarpur,1388552,696532,692020,681591,415820,265771,52267,26543,25724,983437,491631,491806,641515,346624,294891,216411,425104,747037,227849,184330,12514,216822,1340065,28662,830,240,226,16141,853,1535,99.0,49.0
Rajasthan,Ganganagar,29.256785412667963,73.56192303262948,99,RAJASTHAN,Ganganagar,1969168,1043340,925828,1193343,710908,482435,720412,376734,343678,13477,7160,6317,912672,596320,316352,680563,232109,1056496,268297,230438,13790,400147,1437144,50688,2077,474853,938,1988,164,1316,89.0,61.0
Rajasthan,Hanumangarh,29.1813351791531,74.74632573289902,100,RAJASTHAN,Hanumangarh,1774692,931184,843508,1034136,624281,409855,494189,258352,235837,14289,7578,6711,835260,512802,322458,642109,193151,939432,370452,166833,13839,284136,1433067,118673,1542,216997,241,1935,138,2099,91.0,58.0
Rajasthan,Jaipur,27.033459290187885,75.77117286012533,110,RAJASTHAN,Jaipur,6626178,3468507,3157671,4300965,2554793,1746172,1003302,524831,478471,527966,276638,251328,2464893,1714947,749946,2060010,404883,4161285,744374,131523,91011,1497985,5819980,687452,12708,18782,1020,81079,257,4900,91.0,65.0
Rajasthan,Jaisalmer,26.86900838548185,71.18371877346682,114,RAJASTHAN,Jaisalmer,669919,361708,308211,308653,210415,98238,99134,52776,46358,42429,22497,19932,288903,182565,106338,175383,113520,381016,132466,43872,6835,105730,497045,168129,874,1723,98,1521,34,495,85.0,46.0
Rajasthan,Jalor,25.07578093797277,72.18647261724662,116,RAJASTHAN,Jalor,1828730,936634,892096,829582,543923,285659,357196,185342,171854,178719,93290,85429,896644,494906,401738,660719,235925,932086,493355,158013,21867,223409,1732852,78990,730,231,144,14640,82,1061,95.0,45.0
Rajasthan,Jhalawar,24.24725541474657,76.11242891705065,129,RAJASTHAN,Jhalawar,1411129,725143,685986,739792,466815,272977,243582,125965,117617,182229,94185,88044,685950,402825,283125,475653,210297,725179,328714,209772,11199,136265,1299751,96164,842,819,46,12488,42,977,95.0,52.0
Rajasthan,Jhunjhunun,28.13517401247401,75.52840893970894,103,RAJASTHAN,Jhunjhunun,2137045,1095896,1041149,1370360,815834,554526,360709,185879,174830,41629,21380,20249,894649,541392,353257,592813,301836,1242396,521692,68878,13472,290607,1905682,228178,1004,275,56,548,85,1217,95.0,64.0
Rajasthan,Jodhpur,26.678460838536967,73.00450847457628,113,RAJASTHAN,Jodhpur,3687165,1923928,1763237,2031532,1265753,765779,608024,315199,292825,118924,61969,56955,1489741,965103,524638,1056479,433262,2197424,592370,242017,42412,612942,3224399,411558,6035,4123,514,36697,80,3759,92.0,55.0
Rajasthan,Karauli,26.51901555555556,76.96081818181815,107,RAJASTHAN,Karauli,1458248,783639,674609,805849,531904,273945,354465,189249,165216,324960,176200,148760,628726,371058,257668,438337,190389,829522,335302,115367,9521,168536,1370977,81553,602,297,70,3424,413,912,86.0,55.0
Rajasthan,Kota,25.175718080000014,76.18618928000001,127,RAJASTHAN,Kota,1951014,1021161,929853,1298345,765396,532949,405408,211161,194247,183816,96428,87388,748811,534650,214161,577548,171263,1202203,140262,134992,25125,448432,1661307,243993,5665,11058,280,25742,286,2683,91.0,67.0
Rajasthan,Nagaur,27.07862016048146,74.14215667001012,112,RAJASTHAN,Nagaur,3307743,1696325,1611418,1758624,1102750,655874,699911,360451,339460,10418,5475,4943,1425882,857031,568851,985927,439955,1881861,734614,263401,29647,398220,2833443,454487,1912,366,163,12940,276,4156,95.0,53.0
Rajasthan,Pali,25.80490393541874,73.55285640766907,118,RAJASTHAN,Pali,2037573,1025422,1012151,1085693,667381,418312,398096,203328,194768,144578,74369,70209,842327,523077,319250,605288,237039,1195246,243491,237280,26119,335437,1870543,143476,1345,1540,141,18974,52,1502,99.0,53.0
Rajasthan,Rajsamand,25.24894767441859,73.96570215946844,123,RAJASTHAN,Rajsamand,1156597,581339,575258,619139,383334,235805,148168,74738,73430,160809,81173,79636,550831,319534,231297,362584,188247,605766,207582,106587,13505,223157,1105676,33677,759,260,100,14966,68,1091,99.0,54.0
Rajasthan,Sawai Madhopur,26.251081180223288,76.4219283891548,108,RAJASTHAN,Sawai Madhopur,1335551,704031,631520,741748,486184,255564,278789,146333,132456,285848,152745,133103,578068,343802,234266,418555,159513,757483,313358,88804,12070,163836,1165505,155681,945,812,177,9991,42,2398,90.0,56.0
Rajasthan,Sikar,27.64644058641976,75.29317422839503,111,RAJASTHAN,Sikar,2677333,1374990,1302343,1652117,995275,656842,418806,216523,202283,75349,39098,36251,1006504,657854,348650,698711,307793,1670829,501311,87889,22776,394528,2342076,327583,1122,356,177,4050,15,1954,95.0,62.0
Rajasthan,Sirohi,24.7976905263158,72.75309131578943,117,RAJASTHAN,Sirohi,1036346,534231,502115,476806,309900,166906,201863,104899,96964,292470,148966,143504,419829,272196,147633,313292,106537,616517,124080,97823,9443,188483,996562,30479,1284,572,114,6829,56,450,94.0,46.0
Rajasthan,Tonk,26.153935071707927,75.79192216427637,120,RAJASTHAN,Tonk,1421326,728136,693190,749659,478329,271330,287903,148110,139793,178207,92677,85530,649161,371848,277313,495797,153364,772165,326083,113426,16004,193648,1243527,153146,754,378,122,22458,30,911,95.0,53.0
Rajasthan,Udaipur,24.44076752136749,73.84029839743584,130,RAJASTHAN,Udaipur,3068420,1566801,1501619,1582629,973444,609185,188525,97094,91431,1525289,773213,752076,1365783,835839,529944,822355,543428,1702637,539106,302968,33535,490174,2869976,104307,7406,4278,209,78647,373,3224,96.0,52.0
Sikkim,East,27.29600352941175,88.74908392156858,93,NCT OF DELHI,East,1709346,907500,801846,1352998,748382,604616,281422,148019,133403,0,0,0,579692,486951,92741,555026,24666,1129654,1156,3094,19541,555901,1410852,178807,15792,53027,2643,46927,366,932,88.0,79.0
Tamil Nadu,Ariyalur,11.190514836795256,79.22249643916912,616,TAMIL NADU,Ariyalur,754894,374703,380191,480604,269582,211022,176230,88076,88154,10722,5274,5448,359851,212547,147304,272241,87610,395043,107312,166837,13564,72138,708397,7942,37403,104,88,65,42,853,101.0,64.0
Tamil Nadu,Chennai,13.058098905608748,80.28139151846806,603,TAMIL NADU,Chennai,4646732,2335844,2310888,3776276,1968079,1808197,779667,389001,390666,10061,5207,4854,1817297,1369302,447995,1619554,197743,2829435,14454,13674,37345,1751824,3751322,439270,358662,2851,2804,51708,1759,38356,99.0,81.0
Tamil Nadu,Coimbatore,10.871376995940452,77.07619012178621,632,TAMIL NADU,Coimbatore,3458045,1729297,1728748,2635907,1394790,1241117,535911,266960,268951,28342,14245,14097,1567950,1083125,484825,1443252,124698,1890095,80217,230026,50085,1207622,3044145,211035,190314,1112,435,3284,237,7483,100.0,76.0
Tamil Nadu,Cuddalore,11.57587300613498,79.63002365371497,617,TAMIL NADU,Cuddalore,2605914,1311697,1294217,1815281,1000322,814959,763944,383943,380001,15702,7943,7759,1169880,749633,420247,837271,332609,1436034,165170,539412,32027,433271,2391675,123749,83334,401,236,1280,138,5101,99.0,70.0
Tamil Nadu,Dharmapuri,12.300141200000006,78.11509813333339,630,TAMIL NADU,Dharmapuri,1506843,774303,732540,917709,527599,390110,245392,124706,120686,63044,32130,30914,751170,446057,305113,652996,98174,755673,201328,267345,15341,267156,1452956,38304,14089,164,39,37,87,1167,95.0,61.0
Tamil Nadu,Dindigul,10.377801390820574,77.78011279554937,612,TAMIL NADU,Dindigul,2159775,1080938,1078837,1481834,816180,665654,452376,225573,226803,8064,4095,3969,1105155,665469,439686,963017,142138,1054620,165405,467959,30829,440962,1879494,105012,169945,313,256,71,138,4546,100.0,69.0
Tamil Nadu,Erode,11.267012155963302,77.42034334862392,610,TAMIL NADU,Erode,2251744,1129868,1121876,1492662,828300,664362,369483,184408,185075,21880,11024,10856,1195773,732083,463690,1111051,84722,1055971,178170,370212,54322,593069,2115455,76098,55899,435,148,639,157,2913,99.0,66.0
Tamil Nadu,Kancheepuram,12.496424756511884,80.08820360135913,604,TAMIL NADU,Kancheepuram,3998252,2012958,1985294,3013382,1611461,1401921,948081,474264,473817,41210,20605,20605,1673814,1181308,492506,1367378,306436,2324438,89343,272514,54732,1257225,3537399,173785,256762,1620,990,4962,756,21978,99.0,75.0
Tamil Nadu,Kanniyakumari,8.183466300191206,77.32053064053538,629,TAMIL NADU,Kanniyakumari,1870374,926345,944029,1548738,780541,768197,74249,36817,37432,7282,3554,3728,679620,524629,154991,552658,126962,1190754,15610,72867,35789,555354,909872,78590,876299,160,438,156,10,4849,102.0,83.0
Tamil Nadu,Karur,10.79532776617955,78.08749686847604,613,TAMIL NADU,Karur,1064493,528184,536309,727044,401726,325318,221385,108809,112576,575,297,278,543298,329034,214264,508507,34791,521195,85872,200837,11340,245249,993666,53292,16483,115,29,7,79,822,102.0,68.0
Tamil Nadu,Madurai,9.904313833333331,78.01366033333332,623,TAMIL NADU,Madurai,3038252,1526475,1511777,2273430,1223810,1049620,408976,205098,203878,11096,5622,5474,1354632,902704,451928,1173902,180730,1683620,92719,372828,47293,841792,2760502,168881,97711,520,199,1532,305,8602,99.0,75.0
Tamil Nadu,Nagapattinam,10.789468161718286,79.79437299431483,618,TAMIL NADU,Nagapattinam,1616450,798127,818323,1213008,640916,572092,509767,252332,257435,3756,1847,1909,671994,461174,210820,486328,185666,944456,67482,345057,11555,247900,1435072,128617,47579,184,450,963,110,3475,103.0,75.0
Tamil Nadu,Namakkal,11.33766638477801,78.14624841437633,609,TAMIL NADU,Namakkal,1726601,869280,857321,1176131,653312,522819,345392,173973,171419,57059,29383,27676,898245,531463,366782,839152,59093,828356,158473,253726,38797,447249,1673652,32483,16909,183,108,84,199,2983,99.0,68.0
Tamil Nadu,Perambalur,11.260137758112096,78.86034011799416,615,TAMIL NADU,Perambalur,565223,282157,283066,375823,208011,167812,175289,87444,87845,2584,1292,1292,299726,162639,137087,255097,44629,265497,117304,118278,5343,58801,521658,32702,10301,83,39,38,26,376,100.0,66.0
Tamil Nadu,Pudukkottai,10.130514816433578,79.05444484265728,621,TAMIL NADU,Pudukkottai,1618345,803188,815157,1110545,608776,501769,284804,141428,143376,1283,647,636,761693,471099,290594,640248,121445,856652,209270,305149,13941,233333,1428784,114194,72850,119,81,32,293,1992,101.0,69.0
Tamil Nadu,Ramanathapuram,9.31286995153476,78.99185362412462,626,TAMIL NADU,Ramanathapuram,1353445,682658,670787,978946,536487,442459,249008,125015,123993,1105,559,546,602977,392751,210226,486150,116827,750468,173767,153874,25228,250108,1047411,208038,91139,154,86,29,36,6552,98.0,72.0
Tamil Nadu,Salem,11.629324202127655,78.2478257978723,608,TAMIL NADU,Salem,3482056,1781571,1700485,2285562,1285107,1000455,580512,294062,286450,119369,60489,58880,1694160,1083797,610363,1561030,133130,1787896,257004,454210,141503,841443,3326357,95487,53841,412,174,992,246,4547,95.0,66.0
Tamil Nadu,Sivaganga,9.960306580645158,78.56535729032255,622,TAMIL NADU,Sivaganga,1339101,668672,670429,959744,526304,433440,227746,113599,114147,790,394,396,620171,391305,228866,461102,159069,718930,141003,199563,14656,264949,1186078,74310,75481,150,80,109,24,2869,100.0,72.0
Tamil Nadu,Thanjavur,10.387692255892237,79.3194869107745,620,TAMIL NADU,Thanjavur,2405890,1182416,1223474,1790998,944264,846734,455062,225859,229203,3561,1739,1822,974079,680483,293596,834484,139595,1431811,129913,415361,31200,397605,2075870,190814,133971,231,795,1256,148,2805,103.0,74.0
Tamil Nadu,Theni,9.924066666666668,77.43458833333332,624,TAMIL NADU,Theni,1245899,625683,620216,870080,479403,390677,258200,129900,128300,1835,954,881,591642,368900,222742,530591,61051,654257,38367,315161,14939,223175,1148990,56751,37574,152,79,28,74,2251,99.0,70.0
Tamil Nadu,Thiruvallur,13.275858101752885,80.19724702864492,602,TAMIL NADU,Thiruvallur,3728104,1876062,1852042,2791721,1495711,1296010,821646,410526,411120,47243,23692,23551,1538054,1103563,434491,1247918,290136,2190050,73444,270586,58240,1135784,3325823,143093,233633,1422,951,3693,530,18959,99.0,75.0
Tamil Nadu,Thiruvarur,10.368927409395978,79.60322893959727,619,TAMIL NADU,Thiruvarur,1264277,626693,637584,946471,503085,443386,430927,214717,216210,3034,1466,1568,540168,369853,170315,412425,127743,724109,69883,295188,10440,164657,1132785,96092,33192,258,151,279,64,1456,102.0,75.0
Tamil Nadu,Tiruvannamalai,12.419318947368414,79.23265631578953,606,TAMIL NADU,Tiruvannamalai,2464875,1235889,1228986,1626813,909803,717010,565329,282615,282714,90954,45956,44998,1238177,738995,499182,970072,268105,1226698,292641,525063,46720,373753,2294369,91636,66987,232,157,7898,110,3486,99.0,66.0
Tamil Nadu,Vellore,12.784882632293078,79.02643283582084,605,TAMIL NADU,Vellore,3936331,1961688,1974643,2773928,1504355,1269573,860212,424668,435544,72955,36663,36292,1689330,1123874,565456,1360185,329145,2247001,175108,391955,136415,985852,3397857,414760,111390,676,438,3514,251,7445,101.0,70.0
Tamil Nadu,Virudhunagar,9.468872195892564,77.87641469194315,625,TAMIL NADU,Virudhunagar,1942288,967709,974579,1398788,760375,638413,399831,198704,201127,2294,1182,1112,950158,579111,371047,854066,96092,992130,57153,208702,35298,649005,1822626,47838,67405,245,87,98,75,3914,101.0,72.0
Tripura,Dhalai,23.781360477941163,91.94654283088232,291,TRIPURA,Dhalai,378230,194544,183686,276217,151643,124574,61688,31461,30227,210608,106759,103849,155831,105657,50174,108259,47572,222399,45956,42201,2870,64804,307120,8256,22940,175,39120,85,206,328,94.0,73.0
Tripura,North Tripura,24.121739755351683,92.17842538226292,292,TRIPURA,North Tripura,693947,352860,341087,520402,275646,244756,114968,58375,56593,179426,91116,88310,248667,186034,62633,186105,62562,445280,49286,43977,7088,148316,507967,105737,44062,151,34717,307,70,936,97.0,75.0
Tripura,South Tripura,23.211874098057383,91.6065807585568,290,TRIPURA,South Tripura,876001,447544,428457,646810,351082,295728,140168,72012,68156,344835,173174,171661,366845,253229,113616,258457,108388,509156,85530,111332,6375,163608,736015,49258,39258,245,49420,106,808,891,96.0,74.0
Tripura,West Tripura,23.780166241299337,91.41310788863107,289,TRIPURA,West Tripura,1725739,879428,846311,1361354,722998,638356,338094,172522,165572,431944,217278,214666,698178,500406,197772,524198,173980,1027561,115175,156108,25163,401732,1512801,152791,53622,499,2128,362,430,3106,96.0,79.0
Uttar Pradesh,Agra,26.99512974910393,78.05278291517321,146,UTTAR PRADESH,Agra,4418797,2364953,2053844,2680510,1614594,1065916,991325,531641,459684,7255,3827,3428,1389844,1119701,270143,1050562,339282,3028953,285471,234455,94184,775734,3922718,411313,10076,12057,4049,21508,384,36692,87.0,61.0
Uttar Pradesh,Aligarh,27.93748576850093,78.00146831119557,143,UTTAR PRADESH,Aligarh,3673889,1951996,1721893,2092567,1283380,809187,755254,402483,352771,629,340,289,1174361,929337,245024,865799,308562,2499528,281501,267197,78566,547097,2904140,729283,7635,5875,2582,2805,91,21478,88.0,57.0
Uttar Pradesh,Allahabad,25.392038662316445,82.05172446982063,175,UTTAR PRADESH,Allahabad,5954391,3131807,2822584,3665727,2199340,1466387,1309851,687076,622775,7955,4270,3685,2111907,1426110,685797,1286732,825175,3842484,474283,541146,185877,910601,5102041,796756,13782,4377,4391,2247,305,30492,90.0,62.0
Uttar Pradesh,Ambedkar Nagar,26.39119025974028,82.68282142857147,178,UTTAR PRADESH,Ambedkar Nagar,2397888,1212410,1185478,1486939,846676,640263,591125,298240,292885,746,406,340,787398,547406,239992,440998,346400,1610490,213814,301120,58520,213944,1985654,401678,2536,869,1817,235,33,5066,98.0,62.0
Uttar Pradesh,Auraiya,26.66892394014961,79.42637057356607,162,UTTAR PRADESH,Auraiya,1379545,740040,639505,930836,546198,384638,391622,211413,180209,150,91,59,442023,364543,77480,325721,116302,937522,166731,151727,12533,111032,1273546,101963,1004,371,332,228,444,1657,86.0,67.0
Uttar Pradesh,Azamgarh,26.008290954773837,83.01220251256285,191,UTTAR PRADESH,Azamgarh,4613913,2285004,2328909,2771917,1559414,1212503,1171378,579586,591792,9327,4690,4637,1372032,941890,430142,784272,587760,3241881,425630,452055,115991,378356,3878626,718692,3810,719,5652,183,226,6005,102.0,60.0
Uttar Pradesh,Baghpat,29.045793499999988,77.30266300000001,139,UTTAR PRADESH,Baghpat,1303048,700070,602978,797970,489858,308112,149060,79920,69140,14,10,4,416695,342604,74091,334519,82176,886353,124718,74500,20347,197130,917474,364583,1840,483,161,16139,25,2343,86.0,61.0
Uttar Pradesh,Bahraich,27.691776300578027,81.46779783237004,180,UTTAR PRADESH,Bahraich,3487731,1843884,1643847,1398368,878285,520083,509307,270226,239081,11159,5606,5553,1152160,895576,256584,743452,408708,2335571,430227,482897,37965,201071,2291892,1169330,6400,8212,2793,1177,38,7889,89.0,40.0
Uttar Pradesh,Ballia,25.86075638297873,84.03651978723408,193,UTTAR PRADESH,Ballia,3239774,1672902,1566872,1963590,1160960,802630,494698,257624,237074,110114,56817,53297,1019483,723060,296423,569522,449961,2220291,206228,384432,72194,356629,3004240,213440,4463,892,1595,233,64,14847,94.0,61.0
Uttar Pradesh,Balrampur,27.449076537911324,82.47158326180256,182,UTTAR PRADESH,Balrampur,2148665,1114721,1033944,868357,544943,323414,277212,145928,131284,24887,12657,12230,760253,534332,225921,458727,301526,1388412,276614,328768,29916,124955,1333242,805975,3228,900,1866,198,87,3169,93.0,40.0
