State,District,Latitude,Longitude,District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,sex_ratio,literacy_rate
Maharashtra,Buldana,20.56680611183355,76.39017880364096,500,MAHARASHTRA,Buldana,2586258,1337560,1248698,1879874,1048892,830982,470895,241445,229450,124837,64153,60684,1219641,734024,485617,1107542,112099,1366617,385447,603227,13770,217197,1845424,354236,3531,1668,364229,12242,522,4406,93.0,73.0
Maharashtra,Chandrapur,20.095609090909075,79.31556380471388,509,MAHARASHTRA,Chandrapur,2204307,1123834,1080473,1578615,872565,706050,348365,176898,171467,389441,196753,192688,1058172,648565,409607,804433,253739,1146135,220978,473983,21346,341865,1780085,92297,10701,5251,286734,3861,23188,2190,96.0,72.0
Maharashtra,Dhule,21.274018690400517,74.58719071837263,498,MAHARASHTRA,Dhule,2050862,1054031,996831,1293916,723388,570528,127571,65068,62503,647315,327034,320281,936370,570448,365922,825875,110495,1114492,239139,429536,20646,247049,1825460,187901,3653,1422,13405,12818,912,5291,95.0,63.0
Maharashtra,Gondiya,21.225008411214997,80.17522698598128,507,MAHARASHTRA,Gondiya,1322507,661554,660953,1004243,542837,461406,175961,87434,88527,214253,105944,108309,665419,383151,282268,433962,231457,657088,186509,281414,32525,164971,1153861,26157,1827,2160,125282,1568,5080,6572,100.0,76.0
Maharashtra,Hingoli,19.59525302245251,77.09239412780653,512,MAHARASHTRA,Hingoli,1177345,606294,571051,790743,450551,340192,182565,93379,89186,111954,57674,54280,569182,330903,238279,514371,54811,608163,241613,226483,8268,92818,863199,127552,992,643,176679,5278,103,2899,94.0,67.0
Maharashtra,Jalgaon,20.8828943415638,75.55140421810695,499,MAHARASHTRA,Jalgaon,4229917,2197365,2032552,2891882,1629223,1262659,389273,199427,189846,604367,310150,294217,1863571,1186472,677099,1643955,219616,2366346,384359,937174,38930,503108,3457615,560261,7091,3091,143865,27404,9662,20928,92.0,68.0
Maharashtra,Jalna,19.984612534818933,75.98473607242339,514,MAHARASHTRA,Jalna,1959046,1011473,947573,1195523,699428,496095,272266,138957,133309,42263,21988,20275,930886,545030,385856,844492,86394,1028160,418952,300937,16705,194292,1504641,274221,12542,1629,152540,9619,336,3518,94.0,61.0
Maharashtra,Kolhapur,16.44881301587301,74.12897150793648,530,MAHARASHTRA,Kolhapur,3876001,1980658,1895343,2825845,1559760,1266085,504461,253390,251071,30206,15478,14728,1704054,1125204,578850,1508563,195491,2171947,660872,266028,59932,717222,3379906,286558,15573,1570,29766,154882,1274,6472,96.0,73.0
Maharashtra,Latur,18.348687268993856,76.75812607802874,524,MAHARASHTRA,Latur,2454196,1273140,1181056,1650672,932432,718240,480913,247918,232995,57488,29872,27616,1046857,670018,376839,964177,82680,1407339,331780,416578,17663,280836,2006984,367664,2387,935,66535,6387,310,2994,93.0,67.0
Maharashtra,Nagpur,21.196556862745105,79.02166176470584,505,MAHARASHTRA,Nagpur,4653570,2384975,2268595,3673808,1959220,1714588,867713,439205,428508,437571,223566,214005,1868560,1334211,534349,1654778,213782,2785010,206606,423587,52419,1185948,3492202,390974,34667,20469,668050,24528,12181,10499,95.0,79.0
Maharashtra,Nanded,19.209316983017,77.6829048951049,511,MAHARASHTRA,Nanded,3361292,1730075,1631217,2189425,1255222,934203,640483,328797,311686,281695,143892,137803,1493953,925232,568721,1317791,176162,1867339,447823,632395,29158,384577,2501741,471951,3902,13540,354189,5049,1273,9647,94.0,65.0
Maharashtra,Nandurbar,21.523175625248147,74.32638757443429,497,MAHARASHTRA,Nandurbar,1648295,833170,815125,906509,512099,394410,47985,24273,23712,1141933,568026,573907,792065,442898,349167,664193,127872,856230,211672,438176,14599,127618,1521618,96182,8467,685,4969,6191,2907,7276,98.0,55.0
Maharashtra,Nashik,20.266912871287143,74.03824168316828,516,MAHARASHTRA,Nashik,6107187,3157186,2950001,4345366,2397538,1947828,554687,282213,272474,1564369,792547,771822,2763328,1746286,1017042,2523023,240305,3343859,967385,730228,56132,1009583,5237009,693052,23946,8912,94783,38212,1795,9478,93.0,71.0
Maharashtra,Osmanabad,18.19459456066944,75.99495575313809,525,MAHARASHTRA,Osmanabad,1657576,861535,796041,1137810,644304,493506,265184,136354,128830,36039,18569,17470,773916,473795,300121,701894,72022,883660,297361,299525,19831,157199,1437623,178925,942,340,28216,4530,195,6805,92.0,69.0
Maharashtra,Parbhani,19.31032425249168,76.70163338870431,513,MAHARASHTRA,Parbhani,1836086,942870,893216,1157814,666291,491523,247308,125883,121425,40514,20570,19944,822797,501422,321375,756417,66380,1013289,295030,317806,13210,196751,1328385,306364,2081,1371,187899,6238,262,3486,95.0,63.0
Maharashtra,Pune,18.51696171428573,74.12922881632647,521,MAHARASHTRA,Pune,9429408,4924105,4505303,7171723,3940210,3231513,1180703,602755,577948,348876,179132,169744,4048993,2809816,1239177,3751221,297772,5380415,886530,414461,105711,2642291,8090254,673704,134192,27090,340404,127786,9873,26105,91.0,76.0
Maharashtra,Ratnagiri,17.210195070127703,73.25725893866404,528,MAHARASHTRA,Ratnagiri,1615069,761121,853948,1199392,619012,580380,66948,31967,34981,20374,10402,9972,714076,407008,307068,554973,159103,900993,296913,153117,17230,246816,1307211,187197,1990,230,113467,3347,95,1532,112.0,74.0
Maharashtra,Sangli,17.154930181086502,74.70713822937628,531,MAHARASHTRA,Sangli,2822143,1435728,1386415,2049467,1121550,927917,353093,177108,175985,18333,9406,8927,1215104,800214,414890,1074948,140156,1607039,480554,290693,40824,403033,2440312,239607,9098,1260,38210,87453,769,5434,97.0,73.0
Maharashtra,Satara,17.6737908974359,74.18052064102558,527,MAHARASHTRA,Satara,3003741,1510842,1492899,2225694,1201034,1024660,323236,161703,161533,29635,15210,14425,1354947,844805,510142,1184407,170540,1648794,585876,297241,39772,432058,2691952,146970,4408,1182,141315,12810,676,4428,99.0,74.0
Maharashtra,Sindhudurg,16.170948049777163,73.51329008172343,529,MAHARASHTRA,Sindhudurg,849651,417332,432319,666067,348289,317778,55586,26830,28756,6976,3575,3401,347178,229676,117502,226538,120640,502473,124812,81816,9679,130871,780384,26264,15471,219,24762,1046,53,1452,104.0,78.0
Maharashtra,Solapur,17.837357937584812,75.42394823609216,526,MAHARASHTRA,Solapur,4317756,2227852,2089904,2910676,1651266,1259410,649745,331960,317785,77592,39785,37807,1898395,1206933,691462,1763175,135220,2419361,637250,558334,71106,631705,3795424,441254,9882,1279,35497,28134,568,5718,94.0,67.0
Maharashtra,Thane,19.698767747440264,72.79882742564581,517,MAHARASHTRA,Thane,11060148,5865078,5195070,8227161,4591396,3635765,730089,377885,352204,1542451,769192,773259,4492767,3363123,1129644,3930511,562256,6567381,349931,418004,124461,3600371,8716055,1355630,280700,39149,449617,172052,9862,37083,89.0,74.0
Maharashtra,Wardha,20.80743024390242,78.57259105691062,504,MAHARASHTRA,Wardha,1300774,668385,632389,1019458,552617,466841,188830,96569,92261,149507,76698,72809,608235,392316,215919,529623,78612,692539,132989,282170,13785,179291,1057096,53854,2696,2147,175417,5663,2254,1647,95.0,78.0
Maharashtra,Washim,20.282282394366213,77.25502394366208,502,MAHARASHTRA,Washim,1197160,620302,576858,869917,487703,382214,229462,117867,111595,80471,41403,39068,569792,340353,229439,502755,67037,627368,165598,310195,7122,86877,859949,142672,1707,518,179330,8476,381,4127,93.0,73.0
Maharashtra,Yavatmal,20.04258346738159,78.05326371760479,510,MAHARASHTRA,Yavatmal,2772348,1419965,1352383,2022574,1115980,906594,328518,167009,161509,514057,260896,253161,1355999,815475,540524,1195100,160899,1416349,333504,739718,17899,264878,2251401,239236,4567,1596,249874,11422,3745,10507,95.0,73.0
Manipur,Bishnupur,24.50712111801243,93.8246236024845,275,MANIPUR,Bishnupur,237399,118782,118617,156333,87313,69020,22113,11085,11028,3287,1625,1662,109937,62807,47130,76423,33514,127462,34358,15109,11567,48903,175102,18691,4264,56,76,16,38457,737,100.0,66.0
Manipur,Chandel,24.2635812987013,94.09443844155844,280,MANIPUR,Chandel,144182,74579,69603,90302,51053,39249,540,321,219,128280,63622,64658,76238,42615,33623,53753,22485,67944,43255,8315,3040,21628,10810,3086,129049,136,400,59,354,288,93.0,63.0
Manipur,Churachandpur,24.30309718875504,93.38671506024085,274,MANIPUR,Churachandpur,274143,138820,135323,195935,104013,91922,443,244,199,254787,126328,128459,122655,70594,52061,89779,32876,151488,64834,8282,5067,44472,12034,2886,254979,152,495,87,2333,1177,97.0,71.0
Manipur,Senapati,25.08465586034914,94.03366234413956,272,MANIPUR,Senapati,479148,247323,231825,264477,148012,116465,1000,536,464,419210,214519,204691,233622,124143,109479,185725,47897,245526,175127,30369,4978,42307,43833,1649,426819,140,2409,53,1243,3002,94.0,55.0
Manipur,Tamenglong,24.98312942238265,93.49450740072204,273,MANIPUR,Tamenglong,140651,72371,68280,85006,47403,37603,22,17,5,134626,68226,66400,70675,37237,33438,55979,14696,69976,48849,1924,1710,18192,2995,589,134760,59,425,57,1144,622,94.0,60.0
Manipur,Thoubal,24.545392553191498,93.97959893617023,276,MANIPUR,Thoubal,422168,210845,211323,269304,152617,116687,40593,20137,20456,1808,929,879,195319,109377,85942,133428,61891,226849,77331,33106,21017,63865,267146,107323,4322,106,114,24,42347,786,100.0,64.0
Manipur,Ukhrul,25.05900314960629,94.44129566929138,279,MANIPUR,Ukhrul,183998,94718,89280,129829,70148,59681,248,160,88,173606,87970,85636,87929,46533,41396,67724,20205,96069,56815,3852,2233,25029,7553,1115,174112,108,635,70,32,373,94.0,71.0
Meghalaya,East Garo Hills,25.82728228228228,90.64684924924916,294,MEGHALAYA,East Garo Hills,317917,161223,156694,192147,102513,89634,509,304,205,305180,153861,151319,126073,72262,53811,83936,42137,191844,77390,19246,2475,26962,17272,3359,289708,56,1004,38,5617,863,97.0,60.0
Meghalaya,East Khasi Hills,25.303763888888884,91.75922519841272,298,MEGHALAYA,East Khasi Hills,825922,410749,415173,578030,287270,290760,5642,2924,2718,661158,320048,341110,326786,204303,122483,289576,37210,499136,76767,40889,2966,206164,144935,14185,543394,2495,3111,303,115597,1902,101.0,70.0
Meghalaya,Jaintia Hills,25.33959557069844,92.37608160136298,299,MEGHALAYA,Jaintia Hills,395124,196285,198839,187527,87371,100156,1317,784,533,376099,185866,190233,154180,88839,65341,110617,43563,240944,50844,35766,2004,65566,12456,1646,271596,34,284,45,107559,1504,101.0,47.0
Meghalaya,South Garo Hills,25.240568578553614,90.64560349127176,295,MEGHALAYA,South Garo Hills,142334,73170,69164,82062,45003,37059,319,188,131,134237,68140,66097,53069,32826,20243,38397,14672,89265,28145,5565,1249,18110,7036,1050,132984,27,332,10,362,533,95.0,58.0
Meghalaya,West Garo Hills,25.495285185185185,90.03709947089942,293,MEGHALAYA,West Garo Hills,643291,324159,319132,358702,193438,165264,8810,4535,4275,474009,236772,237237,255693,151914,103779,188371,67322,387598,120740,39725,7643,87585,122936,106788,389956,209,3392,144,16950,2916,98.0,56.0
Meghalaya,West Khasi Hills,25.500889926739926,91.25364542124538,296,MEGHALAYA,West Khasi Hills,383461,193715,189746,230678,117307,113371,168,93,75,375097,189134,185963,163345,89694,73651,119803,43542,220116,84956,37184,2475,38730,6498,1533,366881,58,1313,38,5878,1262,98.0,60.0
Mizoram,Aizawl,23.90781335453101,92.85359459459472,283,MIZORAM,Aizawl,400309,199270,201039,340595,169547,171048,627,388,239,373542,182517,191025,174636,104643,69993,151410,23226,225673,39266,11434,3360,120576,13249,5264,379134,105,1570,76,505,406,101.0,85.0
Mizoram,Champhai,23.54166580976866,93.24221799485862,284,MIZORAM,Champhai,125745,63388,62357,100802,51440,49362,17,16,1,123466,61954,61512,60342,34129,26213,53111,7231,65403,38336,5823,980,15203,1075,699,123446,9,151,45,194,126,98.0,80.0
Mizoram,Kolasib,24.2020004347826,92.73470391304348,282,MIZORAM,Kolasib,83955,42918,41037,65895,34147,31748,84,59,25,73609,36917,36692,36672,22733,13939,29697,6975,47283,17992,5921,585,12174,4000,4426,75210,16,108,2,46,147,96.0,78.0
Mizoram,Lawngtlai,22.36102843137253,92.66964156862753,287,MIZORAM,Lawngtlai,117894,60599,57295,62861,36444,26417,146,105,41,112354,57044,55310,45566,28517,17049,38082,7484,72328,29189,3153,613,12611,1668,522,63892,52,51549,122,2,87,95.0,53.0
Mizoram,Lunglei,23.007717036172675,92.63512555425892,286,MIZORAM,Lunglei,161428,82891,78537,121122,64515,56607,178,125,53,153533,77180,76353,78292,46230,32062,62013,16279,83136,45439,10662,813,21378,5231,1290,127124,74,27543,93,5,68,95.0,75.0
Mizoram,Mamit,23.73852942502819,92.4330803833147,281,MIZORAM,Mamit,86364,44828,41536,60191,32977,27214,51,42,9,82080,42075,40005,39339,24016,15323,36185,3154,47025,28669,2553,262,7855,2989,1782,69104,13,12328,25,19,104,93.0,70.0
Mizoram,Saiha,22.35744801061008,93.02827931034489,288,MIZORAM,Saiha,56574,28594,27980,42233,21861,20372,83,52,31,54642,27226,27416,19461,12211,7250,14694,4767,37113,8908,957,313,9283,933,514,54977,11,102,4,2,31,98.0,75.0
Mizoram,Serchhip,23.263864705882344,92.914158496732,285,MIZORAM,Serchhip,64937,32851,32086,54476,27598,26878,32,20,12,62889,31381,31508,32397,18261,14136,29838,2559,32540,21804,1284,926,8383,991,335,63444,6,60,9,35,57,98.0,84.0
Nagaland,Dimapur,25.814176811594223,93.75074057971014,265,NAGALAND,Dimapur,378811,197394,181417,278037,150142,127895,0,0,0,223989,110892,113097,151350,99645,51705,122358,28992,227461,24517,8990,5073,112770,108900,31212,234239,566,1270,2148,157,319,92.0,73.0
Nagaland,Kohima,25.60311428571428,93.78600657596373,270,NAGALAND,Kohima,267988,138966,129022,197489,107038,90451,0,0,0,224738,110617,114121,114825,68140,46685,99408,15417,153163,44684,2198,2072,65871,25496,4384,234955,998,1519,80,335,221,93.0,74.0
Nagaland,Mokokchung,26.478911764705888,94.522426006192,262,NAGALAND,Mokokchung,194622,101092,93530,159494,83479,76015,0,0,0,178431,90567,87864,100067,57084,42983,81046,19021,94555,48925,9166,3798,38178,9840,2057,181847,78,442,66,6,286,93.0,82.0
Nagaland,Mon,26.69207374301676,95.03072988826828,261,NAGALAND,Mon,250260,131753,118507,119626,67432,52194,0,0,0,238285,124343,113942,147654,79425,68229,104981,42673,102606,113473,10836,1608,21737,8102,3444,236494,84,1256,314,1,565,90.0,48.0
Nagaland,Phek,25.63272986577182,94.56814563758392,266,NAGALAND,Phek,163418,83743,79675,105893,57926,47967,0,0,0,157146,79536,77610,80277,41556,38721,63645,16632,83141,55091,3159,1275,20752,3563,950,158224,31,350,17,198,85,95.0,65.0
Nagaland,Tuensang,26.21104453280316,94.85809880715708,267,NAGALAND,Tuensang,196596,101933,94663,117511,63653,53858,0,0,0,190916,98212,92704,98154,52931,45223,73518,24636,98442,75212,3913,1104,17925,2979,1052,191864,27,572,5,1,96,93.0,60.0
Nagaland,Wokha,26.202611551155112,94.1990815181518,264,NAGALAND,Wokha,166343,84505,81838,128208,67385,60823,0,0,0,156621,78816,77805,78412,42096,36316,63512,14900,87931,47473,6438,1965,22536,5605,2043,158236,34,318,8,20,79,97.0,77.0
Nagaland,Zunheboto,26.028178205128206,94.50026666666668,263,NAGALAND,Zunheboto,140757,71217,69540,102881,53504,49377,0,0,0,136561,68071,68490,79466,41178,38288,49382,30084,61291,44723,11955,2025,20763,2580,772,136995,39,286,6,2,77,98.0,73.0
Orissa,Baleshwar,21.48570932311624,87.08085828011933,377,ORISSA,Baleshwar,2320529,1185787,1134742,1621232,902359,718873,478586,243597,234989,275678,137748,137930,932707,684020,248687,618064,314643,1387822,288818,358214,28736,256939,2197709,94254,6434,237,111,201,18345,3238,96.0,70.0
Orissa,Bhadrak,20.95262735257214,86.81496204516931,378,ORISSA,Bhadrak,1506337,760260,746077,1094140,596269,497871,334896,168687,166209,30428,15361,15067,468599,409559,59040,328097,140502,1037738,155956,151377,14451,146815,1398543,104202,745,169,81,111,61,2425,98.0,73.0
